scenario,problem,A,H,V,F,C,comparison_score
中心判断,A,2.5,2.0,4.0,3.0,3.5,68.75
中心判断,B,1.5,2.0,2.5,2.0,3.0,50.625
中心判断,C,1.5,2.0,1.5,1.5,3.5,46.25
中心判断,D,2.0,2.0,3.5,2.5,3.5,61.25
中心判断,E,2.0,2.0,3.0,2.5,2.5,56.875
中心判断,F,2.0,2.0,2.5,2.5,3.0,56.25
A专业强队更集中,A,2.5,0.5,4.0,3.0,3.5,57.5
A专业强队更集中,B,1.5,2.0,2.5,2.0,3.0,50.625
A专业强队更集中,C,1.5,2.0,1.5,1.5,3.5,46.25
A专业强队更集中,D,2.0,2.0,3.5,2.5,3.5,61.25
A专业强队更集中,E,2.0,2.0,3.0,2.5,2.5,56.875
A专业强队更集中,F,2.0,2.0,2.5,2.5,3.0,56.25
A的AI/集成优势落空,A,1.5,2.0,4.0,2.0,3.5,57.5
A的AI/集成优势落空,B,1.5,2.0,2.5,2.0,3.0,50.625
A的AI/集成优势落空,C,1.5,2.0,1.5,1.5,3.5,46.25
A的AI/集成优势落空,D,2.0,2.0,3.5,2.5,3.5,61.25
A的AI/集成优势落空,E,2.0,2.0,3.0,2.5,2.5,56.875
A的AI/集成优势落空,F,2.0,2.0,2.5,2.5,3.0,56.25
A验证与计算成本升高,A,2.5,2.0,3.0,1.5,3.5,59.375
A验证与计算成本升高,B,1.5,2.0,2.5,2.0,3.0,50.625
A验证与计算成本升高,C,1.5,2.0,1.5,1.5,3.5,46.25
A验证与计算成本升高,D,2.0,2.0,3.5,2.5,3.5,61.25
A验证与计算成本升高,E,2.0,2.0,3.0,2.5,2.5,56.875
A验证与计算成本升高,F,2.0,2.0,2.5,2.5,3.0,56.25
组合不利情景,A,1.5,0.5,3.0,1.5,3.5,40.625
组合不利情景,B,1.5,2.0,2.5,2.0,3.0,50.625
组合不利情景,C,1.5,2.0,1.5,1.5,3.5,46.25
组合不利情景,D,2.0,2.0,3.5,2.5,3.5,61.25
组合不利情景,E,2.0,2.0,3.0,2.5,2.5,56.875
组合不利情景,F,2.0,2.0,2.5,2.5,3.0,56.25
