problem,dimension,center,low,high,evidence
A,A,2.5,1.5,3.0,H: judgment based on supplied materials; no solver validation
A,H,2.0,0.0,4.0,U: center is placeholder
A,V,4.0,3.0,4.0,H: judgment based on supplied materials; no solver validation
A,F,3.0,1.5,3.5,H: judgment based on supplied materials; no solver validation
A,C,3.5,2.5,4.0,H: judgment based on supplied materials; no solver validation
B,A,1.5,0.5,2.5,H: judgment based on supplied materials; no solver validation
B,H,2.0,0.0,4.0,U: center is placeholder
B,V,2.5,1.5,3.5,H: judgment based on supplied materials; no solver validation
B,F,2.0,1.0,3.0,H: judgment based on supplied materials; no solver validation
B,C,3.0,2.0,4.0,H: judgment based on supplied materials; no solver validation
C,A,1.5,0.5,2.5,H: judgment based on supplied materials; no solver validation
C,H,2.0,0.0,4.0,U: center is placeholder
C,V,1.5,0.5,2.5,H: judgment based on supplied materials; no solver validation
C,F,1.5,0.5,2.5,H: judgment based on supplied materials; no solver validation
C,C,3.5,2.0,4.0,H: judgment based on supplied materials; no solver validation
D,A,2.0,1.0,3.0,H: judgment based on supplied materials; no solver validation
D,H,2.0,0.0,4.0,U: center is placeholder
D,V,3.5,2.5,4.0,H: judgment based on supplied materials; no solver validation
D,F,2.5,1.5,3.5,H: judgment based on supplied materials; no solver validation
D,C,3.5,2.5,4.0,H: judgment based on supplied materials; no solver validation
E,A,2.0,1.0,3.0,H: judgment based on supplied materials; no solver validation
E,H,2.0,0.0,4.0,U: center is placeholder
E,V,3.0,2.0,4.0,H: judgment based on supplied materials; no solver validation
E,F,2.5,1.5,3.5,H: judgment based on supplied materials; no solver validation
E,C,2.5,1.5,3.5,H: judgment based on supplied materials; no solver validation
F,A,2.0,1.0,3.0,H: judgment based on supplied materials; no solver validation
F,H,2.0,0.0,4.0,U: center is placeholder
F,V,2.5,1.5,3.5,H: judgment based on supplied materials; no solver validation
F,F,2.5,1.5,3.5,H: judgment based on supplied materials; no solver validation
F,C,3.0,2.0,4.0,H: judgment based on supplied materials; no solver validation
