variant,event_id,op_id,core,source_core_id,pipe,start,end
control,task#0,0,1,0,SUBGRAPH,0,10028
control,task#3,3,1,0,SUBGRAPH,11028,11174
control,task#4,4,1,0,SUBGRAPH,11274,20207
control,task#7,7,1,0,SUBGRAPH,23204,23350
control,task#8,8,1,0,SUBGRAPH,23450,32383
control,task#11,11,1,0,SUBGRAPH,35380,35526
control,task#12,12,1,0,SUBGRAPH,35626,44559
control,task#15,15,1,0,SUBGRAPH,47556,47702
control,task#16,16,1,0,SUBGRAPH,47802,56735
control,task#19,19,1,0,SUBGRAPH,59732,59878
control,task#20,20,1,0,SUBGRAPH,59978,68911
control,task#23,23,1,0,SUBGRAPH,71908,72054
control,task#24,24,1,0,SUBGRAPH,72154,81087
control,task#27,27,1,0,SUBGRAPH,84084,84230
control,task#28,28,1,0,SUBGRAPH,84330,93263
control,task#31,31,1,0,SUBGRAPH,96260,96406
control,task#32,32,1,0,SUBGRAPH,96506,105439
control,task#35,35,1,0,SUBGRAPH,108436,108582
control,task#36,36,1,0,SUBGRAPH,108682,117615
control,task#39,39,1,0,SUBGRAPH,120612,120758
control,task#40,40,1,0,SUBGRAPH,120858,129791
control,task#43,43,1,0,SUBGRAPH,132788,132934
control,task#44,44,1,0,SUBGRAPH,133034,141967
control,task#47,47,1,0,SUBGRAPH,144964,145110
control,task#48,48,1,0,SUBGRAPH,145210,154143
control,task#51,51,1,0,SUBGRAPH,157140,157286
control,task#52,52,1,0,SUBGRAPH,157386,166319
control,task#55,55,1,0,SUBGRAPH,169316,169462
control,task#56,56,1,0,SUBGRAPH,169562,178495
control,task#59,59,1,0,SUBGRAPH,181492,181638
control,task#60,60,1,0,SUBGRAPH,181738,190671
control,task#63,63,1,0,SUBGRAPH,193668,193814
control,task#64,64,1,0,SUBGRAPH,193914,202847
control,task#67,67,1,0,SUBGRAPH,205844,205990
control,task#68,68,1,0,SUBGRAPH,206090,215023
control,task#71,71,1,0,SUBGRAPH,218020,218166
control,task#72,72,1,0,SUBGRAPH,218266,227199
control,task#75,75,1,0,SUBGRAPH,230196,230342
control,task#76,76,1,0,SUBGRAPH,230442,239375
control,task#79,79,1,0,SUBGRAPH,242372,242518
control,task#80,80,1,0,SUBGRAPH,242618,251551
control,task#83,83,1,0,SUBGRAPH,254548,254694
control,task#84,84,1,0,SUBGRAPH,254794,263727
control,task#87,87,1,0,SUBGRAPH,266724,266870
control,task#88,88,1,0,SUBGRAPH,266970,275903
