variant,space,working_set,capacity,evidence_type
pipeline_stages,L1,19680,524288,official_peak_core0
pipeline_stages,L1,430080,524288,official_peak_core1
pipeline_stages,L1,473600,524288,official_peak_core2
pipeline_stages,L1,22912,524288,official_peak_core3
pipeline_stages,UB,0,131072,official_peak
pipeline_capacity,L1,79584,524288,static_modeled_stage0
pipeline_capacity,L1,516864,524288,static_modeled_stage1
pipeline_capacity,L1,330752,524288,static_modeled_stage2
pipeline_capacity,L1,17792,524288,static_modeled_stage3
pipeline_capacity,L1,79584,524288,official_peak_stage0
pipeline_capacity,L1,516992,524288,official_peak_stage1
pipeline_capacity,L1,330752,524288,official_peak_stage2
pipeline_capacity,L1,18816,524288,official_peak_stage3
pipeline_capacity,UB,0,131072,official_peak
firstload_only,L1,663552,524288,reported_static_shared_input_exceeds
