variant,space,working_set,capacity,evidence_type
balanced,L1,19680,524288,official_peak_core0
balanced,L1,430080,524288,official_peak_core1
balanced,L1,473600,524288,official_peak_core2
balanced,L1,22912,524288,official_peak_core3
balanced,UB,0,131072,official_peak
resident,L1,79584,524288,official_peak_core0
resident,L1,516992,524288,official_peak_core1
resident,L1,330752,524288,official_peak_core2
resident,L1,18816,524288,official_peak_core3
resident,UB,0,131072,official_peak
resident,L1,79584,524288,static_modeled_stage0
resident,L1,516864,524288,static_modeled_stage1
resident,L1,330752,524288,static_modeled_stage2
resident,L1,17792,524288,static_modeled_stage3
first_load,L1,79584,524288,official_peak_core0
first_load,L1,516992,524288,official_peak_core1
first_load,L1,188160,524288,official_peak_core2
first_load,L1,15744,524288,official_peak_core3
first_load,UB,0,131072,official_peak
first_load,L1,73440,524288,static_shared_input_stage0
first_load,L1,663552,524288,static_shared_input_stage1
first_load,L1,186368,524288,static_shared_input_stage2
first_load,L1,7040,524288,static_shared_input_stage3
