case,cores,baseline_cycles,makespan_cycles,observed_speedup,plot_speedup,attempt_id,revision
001,1,233110.0,233110.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-001-k1-r0,1
001,2,233110.0,116868.0,1.9946435294520313,1.9946435294520313,nikolastarx-20260924T1952Z-s59ee-P1-001-k2-r0,1
001,3,233110.0,78545.0,2.9678528232223567,2.9678528232223567,nikolastarx-20260924T1952Z-s59ee-P1-001-k3-r0,1
001,4,233110.0,58984.0,3.952088702020887,3.952088702020887,nikolastarx-20260924T1952Z-s59ee-P1-001-k4-r0,1
001,5,233110.0,47502.0,4.9073723211654245,4.9073723211654245,nikolastarx-20260924T1952Z-s59ee-P1-001-k5-r0,1
002,1,261945.0,261945.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-002-k1-r0,1
002,2,261945.0,135690.0,1.93046650453239,1.93046650453239,nikolastarx-20260924T1952Z-s59ee-P1-002-k2-r0,1
002,3,261945.0,93963.0,2.7877462405414897,2.7877462405414897,nikolastarx-20260924T1952Z-s59ee-P1-002-k3-r0,1
002,4,261945.0,73544.0,3.561745349722615,3.561745349722615,nikolastarx-20260924T1952Z-s59ee-P1-002-k4-r0,1
002,5,261945.0,55067.0,4.756841665607351,4.756841665607351,nikolastarx-20260924T1952Z-s59ee-P1-002-k5-r0,1
003,1,602212.0,602382.0,0.9997177870520699,1.0,nikolastarx-20260924T1952Z-s59ee-P1-003-k1-r0,1
003,2,602212.0,340580.0,1.7681954313230372,1.7681954313230372,nikolastarx-20260924T1952Z-s59ee-P1-003-k2-r0,1
003,3,602212.0,225604.0,2.6693321040407083,2.6693321040407083,nikolastarx-20260924T1952Z-s59ee-P1-003-k3-r0,1
003,4,602212.0,206064.0,2.92245127727308,2.92245127727308,nikolastarx-20260924T1952Z-s59ee-P1-003-k4-r0,1
003,5,602212.0,165184.0,3.6457041844246416,3.6457041844246416,nikolastarx-20260924T1952Z-s59ee-P1-003-k5-r0,1
004,1,392357.0,392357.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-004-k1-r0,1
004,2,392357.0,199074.0,1.9709103147573264,1.9709103147573264,nikolastarx-20260924T1952Z-s59ee-P1-004-k2-r0,1
004,3,392357.0,134043.0,2.927098020784375,2.927098020784375,nikolastarx-20260924T1952Z-s59ee-P1-004-k3-r0,1
004,4,392357.0,104188.0,3.765855952700887,3.765855952700887,nikolastarx-20260924T1952Z-s59ee-P1-004-k4-r0,1
004,5,392357.0,88341.0,4.441391879195391,4.441391879195391,nikolastarx-20260924T1952Z-s59ee-P1-004-k5-r0,1
005,1,95618.0,95618.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-005-k1-r0,1
005,2,95618.0,60186.0,1.5887083374871231,1.5887083374871231,nikolastarx-20260924T1952Z-s59ee-P1-005-k2-r0,1
005,3,95618.0,47601.0,2.0087393121993236,2.0087393121993236,nikolastarx-20260924T1952Z-s59ee-P1-005-k3-r0,1
005,4,95618.0,42167.0,2.267602627647212,2.267602627647212,nikolastarx-20260924T1952Z-s59ee-P1-005-k4-r0,1
005,5,95618.0,42487.0,2.2505236895991714,2.2505236895991714,nikolastarx-20260924T1952Z-s59ee-P1-005-k5-r0,1
006,1,82837.0,82837.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-006-k1-r0,1
006,2,82837.0,43425.0,1.907587795048935,1.907587795048935,nikolastarx-20260924T1952Z-s59ee-P1-006-k2-r0,1
006,3,82837.0,31153.0,2.6590376528745225,2.6590376528745225,nikolastarx-20260924T1952Z-s59ee-P1-006-k3-r0,1
006,4,82837.0,30204.0,2.742583763739902,2.742583763739902,nikolastarx-20260924T1952Z-s59ee-P1-006-k4-r0,1
006,5,82837.0,31153.0,2.6590376528745225,2.6590376528745225,nikolastarx-20260924T1952Z-s59ee-P1-006-k5-r0,1
007,1,1012562.0,1012562.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-007-k1-r0,1
007,2,1012562.0,507494.0,1.9952196479170197,1.9952196479170197,nikolastarx-20260924T1952Z-s59ee-P1-007-k2-r0,1
007,3,1012562.0,338094.0,2.994912657426633,2.994912657426633,nikolastarx-20260924T1952Z-s59ee-P1-007-k3-r0,1
007,4,1012562.0,254398.0,3.980227831979811,3.980227831979811,nikolastarx-20260924T1952Z-s59ee-P1-007-k4-r0,1
007,5,1012562.0,203834.0,4.967581463347626,4.967581463347626,nikolastarx-20260924T1952Z-s59ee-P1-007-k5-r0,1
008,1,487605.0,487605.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-008-k1-r0,1
008,2,487605.0,194956.0,2.5011028129424075,2.5011028129424075,nikolastarx-20260924T1952Z-s59ee-P1-008-k2-r0,1
008,3,487605.0,137062.0,3.5575505975397994,3.5575505975397994,nikolastarx-20260924T1952Z-s59ee-P1-008-k3-r0,1
008,4,487605.0,117710.0,4.142426301928468,4.142426301928468,nikolastarx-20260924T1952Z-s59ee-P1-008-k4-r0,1
008,5,487605.0,100603.0,4.846823653370178,4.846823653370178,nikolastarx-20260924T1952Z-s59ee-P1-008-k5-r0,1
009,1,153261.0,153397.0,0.9991134116051813,1.0,nikolastarx-20260924T1952Z-s59ee-P1-009-k1-r0,1
009,2,153261.0,92011.0,1.665681277238591,1.665681277238591,nikolastarx-20260924T1952Z-s59ee-P1-009-k2-r0,1
009,3,153261.0,69982.0,2.190006001543254,2.190006001543254,nikolastarx-20260924T1952Z-s59ee-P1-009-k3-r0,1
009,4,153261.0,57707.0,2.655847644133294,2.655847644133294,nikolastarx-20260924T1952Z-s59ee-P1-009-k4-r0,1
009,5,153261.0,50248.0,3.0500915459321765,3.0500915459321765,nikolastarx-20260924T1952Z-s59ee-P1-009-k5-r0,1
010,1,86969.0,86969.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-010-k1-r0,1
010,2,86969.0,45626.0,1.9061280848638933,1.9061280848638933,nikolastarx-20260924T1952Z-s59ee-P1-010-k2-r0,1
010,3,86969.0,30856.0,2.8185442053409386,2.8185442053409386,nikolastarx-20260924T1952Z-s59ee-P1-010-k3-r0,1
010,4,86969.0,29856.0,2.9129488210075025,2.9129488210075025,nikolastarx-20260924T1952Z-s59ee-P1-010-k4-r0,1
010,5,86969.0,29434.0,2.9547122375484136,2.9547122375484136,nikolastarx-20260924T1952Z-s59ee-P1-010-k5-r0,1
011,1,184697.0,184697.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-011-k1-r0,1
011,2,184697.0,92646.0,1.9935777043801135,1.9935777043801135,nikolastarx-20260924T1952Z-s59ee-P1-011-k2-r0,1
011,3,184697.0,69625.0,2.6527396768402154,2.6527396768402154,nikolastarx-20260924T1952Z-s59ee-P1-011-k3-r0,1
011,4,184697.0,46880.0,3.9397824232081913,3.9397824232081913,nikolastarx-20260924T1952Z-s59ee-P1-011-k4-r0,1
011,5,184697.0,46880.0,3.9397824232081913,3.9397824232081913,nikolastarx-20260924T1952Z-s59ee-P1-011-k5-r0,1
012,1,59088.0,59088.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-012-k1-r0,1
012,2,59088.0,30094.0,1.9634478633614674,1.9634478633614674,nikolastarx-20260924T1952Z-s59ee-P1-012-k2-r0,1
012,3,59088.0,21894.0,2.6988215949575225,2.6988215949575225,nikolastarx-20260924T1952Z-s59ee-P1-012-k3-r0,1
012,4,59088.0,17253.0,3.424795687706486,3.424795687706486,nikolastarx-20260924T1952Z-s59ee-P1-012-k4-r0,1
012,5,59088.0,14300.0,4.132027972027972,4.132027972027972,nikolastarx-20260924T1952Z-s59ee-P1-012-k5-r0,1
013,1,263949.0,263949.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-013-k1-r0,1
013,2,263949.0,132198.0,1.9966187083011846,1.9966187083011846,nikolastarx-20260924T1952Z-s59ee-P1-013-k2-r0,1
013,3,263949.0,88351.0,2.98750438591527,2.98750438591527,nikolastarx-20260924T1952Z-s59ee-P1-013-k3-r0,1
013,4,263949.0,66982.0,3.9405959810098237,3.9405959810098237,nikolastarx-20260924T1952Z-s59ee-P1-013-k4-r0,1
013,5,263949.0,54363.0,4.855305998565201,4.855305998565201,nikolastarx-20260924T1952Z-s59ee-P1-013-k5-r0,1
014,1,17698626.0,17579821.0,1.0067580324054495,1.0,nikolastarx-20260924T1952Z-s59ee-P1-014-k1-r0,1
014,2,17698626.0,8752017.0,2.02223396046877,2.02223396046877,nikolastarx-20260924T1952Z-s59ee-P1-014-k2-r0,1
014,3,17698626.0,5882800.0,3.008537771129394,3.008537771129394,nikolastarx-20260924T1952Z-s59ee-P1-014-k3-r0,1
014,4,17698626.0,4500863.0,3.9322738772542065,3.9322738772542065,nikolastarx-20260924T1952Z-s59ee-P1-014-k4-r0,1
014,5,17698626.0,3642307.0,4.859180184427068,4.859180184427068,nikolastarx-20260924T1952Z-s59ee-P1-014-k5-r0,1
015,1,177362.0,177362.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-015-k1-r0,1
015,2,177362.0,92810.0,1.9110225191250942,1.9110225191250942,nikolastarx-20260924T1952Z-s59ee-P1-015-k2-r0,1
015,3,177362.0,61224.0,2.896935842153404,2.896935842153404,nikolastarx-20260924T1952Z-s59ee-P1-015-k3-r0,1
015,4,177362.0,53474.0,3.3167894677787335,3.3167894677787335,nikolastarx-20260924T1952Z-s59ee-P1-015-k4-r0,1
015,5,177362.0,43411.0,4.085646495127963,4.085646495127963,nikolastarx-20260924T1952Z-s59ee-P1-015-k5-r0,1
016,1,7715523.0,7715523.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-016-k1-r0,1
016,2,7715523.0,4550194.0,1.6956470427414743,1.6956470427414743,nikolastarx-20260924T1952Z-s59ee-P1-016-k2-r0,1
016,3,7715523.0,3712678.0,2.0781557140155975,2.0781557140155975,nikolastarx-20260924T1952Z-s59ee-P1-016-k3-r0,1
016,4,7715523.0,3241338.0,2.380351262349067,2.380351262349067,nikolastarx-20260924T1952Z-s59ee-P1-016-k4-r0,1
016,5,7715523.0,3223183.0,2.3937589023024755,2.3937589023024755,nikolastarx-20260924T1952Z-s59ee-P1-016-k5-r0,1
017,1,162810.0,162810.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-017-k1-r0,1
017,2,162810.0,82005.0,1.9853667459301263,1.9853667459301263,nikolastarx-20260924T1952Z-s59ee-P1-017-k2-r0,1
017,3,162810.0,58579.0,2.7793236484064257,2.7793236484064257,nikolastarx-20260924T1952Z-s59ee-P1-017-k3-r0,1
017,4,162810.0,42384.0,3.841308040770102,3.841308040770102,nikolastarx-20260924T1952Z-s59ee-P1-017-k4-r0,1
017,5,162810.0,35496.0,4.586713995943205,4.586713995943205,nikolastarx-20260924T1952Z-s59ee-P1-017-k5-r0,1
018,1,1004367.0,1004367.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-018-k1-r0,1
018,2,1004367.0,504468.0,1.9909429339422917,1.9909429339422917,nikolastarx-20260924T1952Z-s59ee-P1-018-k2-r0,1
018,3,1004367.0,339838.0,2.9554287631165437,2.9554287631165437,nikolastarx-20260924T1952Z-s59ee-P1-018-k3-r0,1
018,4,1004367.0,258063.0,3.8919449901768175,3.8919449901768175,nikolastarx-20260924T1952Z-s59ee-P1-018-k4-r0,1
018,5,1004367.0,205917.0,4.8775331808447095,4.8775331808447095,nikolastarx-20260924T1952Z-s59ee-P1-018-k5-r0,1
019,1,81144.0,81144.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-019-k1-r0,1
019,2,81144.0,43224.0,1.8772903942254304,1.8772903942254304,nikolastarx-20260924T1952Z-s59ee-P1-019-k2-r0,1
019,3,81144.0,28986.0,2.7994204098530324,2.7994204098530324,nikolastarx-20260924T1952Z-s59ee-P1-019-k3-r0,1
019,4,81144.0,24099.0,3.3671106684924688,3.3671106684924688,nikolastarx-20260924T1952Z-s59ee-P1-019-k4-r0,1
019,5,81144.0,24169.0,3.357358599859324,3.357358599859324,nikolastarx-20260924T1952Z-s59ee-P1-019-k5-r0,1
020,1,532746.0,534174.0,0.9973267137674241,1.0,nikolastarx-20260924T1952Z-s59ee-P1-020-k1-r0,1
020,2,532746.0,266580.0,1.9984469952734638,1.9984469952734638,nikolastarx-20260924T1952Z-s59ee-P1-020-k2-r0,1
020,3,532746.0,177950.0,2.993796010115201,2.993796010115201,nikolastarx-20260924T1952Z-s59ee-P1-020-k3-r0,1
020,4,532746.0,133704.0,3.984518039849219,3.984518039849219,nikolastarx-20260924T1952Z-s59ee-P1-020-k4-r0,1
020,5,532746.0,107650.0,4.948871342313051,4.948871342313051,nikolastarx-20260924T1952Z-s59ee-P1-020-k5-r0,1
021,1,6567937.0,6567937.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-021-k1-r0,1
021,2,6567937.0,3194570.0,2.0559690349561914,2.0559690349561914,nikolastarx-20260924T1952Z-s59ee-P1-021-k2-r0,1
021,3,6567937.0,2132763.0,3.0795437655285656,3.0795437655285656,nikolastarx-20260924T1952Z-s59ee-P1-021-k3-r0,1
021,4,6567937.0,1550324.0,4.236493145948847,4.236493145948847,nikolastarx-20260924T1952Z-s59ee-P1-021-k4-r0,1
021,5,6567937.0,1250168.0,5.253643510312214,5.253643510312214,nikolastarx-20260924T1952Z-s59ee-P1-021-k5-r0,1
022,1,56780.0,56780.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-022-k1-r0,1
022,2,56780.0,28415.0,1.9982403660038712,1.9982403660038712,nikolastarx-20260924T1952Z-s59ee-P1-022-k2-r0,1
022,3,56780.0,19197.0,2.9577538157003698,2.9577538157003698,nikolastarx-20260924T1952Z-s59ee-P1-022-k3-r0,1
022,4,56780.0,14654.0,3.874709976798144,3.874709976798144,nikolastarx-20260924T1952Z-s59ee-P1-022-k4-r0,1
022,5,56780.0,11828.0,4.800473452823808,4.800473452823808,nikolastarx-20260924T1952Z-s59ee-P1-022-k5-r0,1
023,1,122614.0,122614.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-023-k1-r0,1
023,2,122614.0,61829.0,1.983114719629947,1.983114719629947,nikolastarx-20260924T1952Z-s59ee-P1-023-k2-r0,1
023,3,122614.0,41488.0,2.955408792903972,2.955408792903972,nikolastarx-20260924T1952Z-s59ee-P1-023-k3-r0,1
023,4,122614.0,31518.0,3.890284916555619,3.890284916555619,nikolastarx-20260924T1952Z-s59ee-P1-023-k4-r0,1
023,5,122614.0,24940.0,4.91635926222935,4.91635926222935,nikolastarx-20260924T1952Z-s59ee-P1-023-k5-r0,1
024,1,2555343.0,2555343.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-024-k1-r0,1
024,2,2555343.0,1506718.0,1.6959663321205427,1.6959663321205427,nikolastarx-20260924T1952Z-s59ee-P1-024-k2-r0,1
024,3,2555343.0,1228774.0,2.0795874587190157,2.0795874587190157,nikolastarx-20260924T1952Z-s59ee-P1-024-k3-r0,1
024,4,2555343.0,1072818.0,2.3818979547323034,2.3818979547323034,nikolastarx-20260924T1952Z-s59ee-P1-024-k4-r0,1
024,5,2555343.0,1067515.0,2.3937302988716787,2.3937302988716787,nikolastarx-20260924T1952Z-s59ee-P1-024-k5-r0,1
025,1,4863026.0,4869182.0,0.998735721934403,1.0,nikolastarx-20260924T1952Z-s59ee-P1-025-k1-r0,1
025,2,4863026.0,2436772.0,1.9956836339222546,1.9956836339222546,nikolastarx-20260924T1952Z-s59ee-P1-025-k2-r0,1
025,3,4863026.0,1626688.0,2.989525957036629,2.989525957036629,nikolastarx-20260924T1952Z-s59ee-P1-025-k3-r0,1
025,4,4863026.0,1221396.0,3.9815309694808234,3.9815309694808234,nikolastarx-20260924T1952Z-s59ee-P1-025-k4-r0,1
025,5,4863026.0,975282.0,4.986276789687495,4.986276789687495,nikolastarx-20260924T1952Z-s59ee-P1-025-k5-r0,1
026,1,99203.0,99203.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-026-k1-r0,1
