case,cores,baseline_cycles,cache_cycles,no_cache_cycles,cache_speedup,no_cache_speedup,cache_gain,attempt_id,revision
001,1,233110.0,233110.0,233110.0,1.0,1.0,1.0,q3-witness-full500-20260925-s59-s01-P3-001-k1-unified-attention-witness-e0,2
002,3,261945.0,93527.0,93527.0,2.8007420317127676,2.8007420317127676,1.0,q3-witness-full500-20260925-s59-s01-P3-002-k3-unified-attention-witness-e0,2
004,3,392357.0,130725.0,130725.0,3.001392235609103,3.001392235609103,1.0,q3-witness-full500-20260925-s59-s01-P3-004-k3-unified-attention-witness-e0,2
006,3,82837.0,27285.0,28486.0,3.035990470954737,2.9079898897704135,1.0440168590800807,q3-witness-full500-20260925-s59-s01-P3-006-k3-unified-attention-witness-e0,2
008,3,487605.0,84303.0,84303.0,5.783957866268104,5.783957866268104,1.0,q3-witness-full500-20260925-s59-s01-P3-008-k3-unified-attention-witness-e0,2
010,3,86969.0,22823.0,23140.0,3.8105858125575076,3.7583837510803804,1.0138894974367962,q3-witness-full500-20260925-s59-s01-P3-010-k3-unified-attention-witness-e0,2
012,3,59088.0,14299.0,16286.0,4.132316945240926,3.6281468746162346,1.138960766487167,q3-witness-full500-20260925-s59-s01-P3-012-k3-unified-attention-witness-e0,2
014,3,17698626.0,5853384.0,5888390.0,3.023657084517264,3.0056816888827,1.0059804721508105,q3-witness-full500-20260925-s59-s01-P3-014-k3-unified-attention-witness-e0,2
016,3,7715523.0,2884306.0,2884306.0,2.6750015428321405,2.6750015428321405,1.0,q3-witness-full500-20260925-s59-s01-P3-016-k3-unified-attention-witness-e0,2
018,3,1004367.0,331328.0,334156.0,3.0313375265597835,3.0056829744191336,1.0085353486575237,q3-witness-full500-20260925-s59-s01-P3-018-k3-unified-attention-witness-e0,2
020,3,532746.0,184495.0,184495.0,2.8875904496056806,2.8875904496056806,1.0,q3-witness-full500-20260925-s59-s01-P3-020-k3-unified-attention-witness-e0,2
022,3,56780.0,18462.0,18462.0,3.0755064456721914,3.0755064456721914,1.0,q3-witness-full500-20260925-s59-s01-P3-022-k3-unified-attention-witness-e0,2
024,3,2555343.0,955894.0,955894.0,2.6732493351773314,2.6732493351773314,1.0,q3-witness-full500-20260925-s59-s01-P3-024-k3-unified-attention-witness-e0,2
026,3,99203.0,33181.0,37309.0,2.9897531719960218,2.65895628400654,1.1244085470600644,q3-witness-full500-20260925-s59-s01-P3-026-k3-unified-attention-witness-e0,2
028,3,43836040.0,13397125.0,13737069.0,3.2720482939436635,3.1910766408758664,1.0253743993580713,q3-witness-full500-20260925-s59-s01-P3-028-k3-unified-attention-witness-e0,2
030,3,2808034.0,928296.0,928413.0,3.0249338573041356,3.0245526505983866,1.0001260373846272,q3-witness-full500-20260925-s59-s01-P3-030-k3-unified-attention-witness-e0,2
032,3,41443.0,12161.0,12161.0,3.40786119562536,3.40786119562536,1.0,q3-witness-full500-20260925-s59-s01-P3-032-k3-unified-attention-witness-e0,2
034,3,842996.0,261890.0,262307.0,3.2188934285386996,3.21377622404282,1.0015922715643972,q3-witness-full500-20260925-s59-s01-P3-034-k3-unified-attention-witness-e0,2
036,3,931510.0,311345.0,311345.0,2.991890025534375,2.991890025534375,1.0,q3-witness-full500-20260925-s59-s01-P3-036-k3-unified-attention-witness-e0,2
038,3,1364555.0,445306.0,445563.0,3.064308587802545,3.062541099687362,1.0005771312311085,q3-witness-full500-20260925-s59-s01-P3-038-k3-unified-attention-witness-e0,2
040,3,253454.0,79061.0,84492.0,3.2058031140511756,2.9997396203190836,1.068693793400033,q3-witness-full500-20260925-s59-s01-P3-040-k3-unified-attention-witness-e0,2
042,3,1686740.0,537423.0,540347.0,3.138570548711164,3.1215866841122466,1.005440779423285,q3-witness-full500-20260925-s59-s01-P3-042-k3-unified-attention-witness-e0,2
044,3,154407.0,57715.0,100660.0,2.6753357012908254,1.5339459566858733,1.7440873256519103,q3-witness-full500-20260925-s59-s01-P3-044-k3-unified-attention-witness-e0,2
046,3,276455.0,82060.0,97312.0,3.3689373629051915,2.840913761920421,1.1858640019497928,q3-witness-full500-20260925-s59-s01-P3-046-k3-unified-attention-witness-e0,2
048,3,222220.0,99499.0,99588.0,2.2333892802942743,2.23139334056312,1.0008944813515714,q3-witness-full500-20260925-s59-s01-P3-048-k3-unified-attention-witness-e0,2
050,3,149690.0,51432.0,53950.0,2.910444859231607,2.7746061167747915,1.0489578472546275,q3-witness-full500-20260925-s59-s01-P3-050-k3-unified-attention-witness-e0,2
052,4,180301.0,40833.0,40833.0,4.415570739352974,4.415570739352974,1.0,q3-witness-full500-20260925-s59-s01-P3-052-k4-unified-attention-witness-e0,2
054,4,815051.0,170548.0,172290.0,4.779012360156671,4.730692437169888,1.0102141332645356,q3-witness-full500-20260925-s59-s01-P3-054-k4-unified-attention-witness-e0,2
