case_id,cores,baseline_B,old_M,old_B_over_M,new_M,new_B_over_M,delta_B_over_M,old_extra_ddr_bytes,new_extra_ddr_bytes,delta_extra_ddr_bytes,old_spill_bytes,new_spill_bytes,old_solver_wall_s,new_solver_wall_s,old_E0_wall_s,new_E0_wall_s,old_route,new_route,new_active_cores,new_feed,new_feed_sha256
001,1,233110,233110,1.0,233110,1.0,0.0,0,0,0,0,0,0.2796799159841612,0.24475954100489616,0.28095099999336526,0.2950478330021724,component_envelope,component_envelope,1,s01/board-feed-001-k1.json,ee821ca8f92f7254b3d3da81a4fed1b6d4b101d7683a103d1d8b91ac4aae1531
001,2,233110,116868,1.9946435294520313,116868,1.9946435294520313,0.0,1152,1152,0,0,0,0.284043332998408,0.23220620898064226,0.28076645798864774,0.2713167500041891,component_envelope,component_envelope,2,s01/board-feed-001-k2.json,6a4e73a8fb2bb5febb34f992a7219f90003817f423269ceb8335c4961b9058e1
001,3,233110,78545,2.9678528232223567,78545,2.9678528232223567,0.0,2304,2304,0,0,0,0.2840390409983229,0.22770849999506027,0.2777778750169091,0.26385908300289884,component_envelope,component_envelope,3,s01/board-feed-001-k3.json,a73304887e22c1e653ca8ec57da82eddc7b676fcc420ea001192b0d2bdbf4409
001,4,233110,58984,3.952088702020887,58984,3.952088702020887,0.0,3456,3456,0,0,0,0.2838919170026202,0.25954150001052767,0.28265054197981954,0.27857274998677894,component_envelope,component_envelope,4,s01/board-feed-001-k4.json,f85c13de052909950636c585ce34c954ffff435520b0c0e32964805e87c5c0c7
001,5,233110,47502,4.9073723211654245,47502,4.9073723211654245,0.0,4608,4608,0,0,0,0.2926561660133302,0.22783770799287595,0.27931275000446476,0.2678959999757353,component_envelope,component_envelope,5,s01/board-feed-001-k5.json,b11edc98d401f069c719fcd842e40eaef9b618ba076969772740c361547d590a
002,1,261945,240813,1.0877527376013754,240813,1.0877527376013754,0.0,0,0,0,0,0,0.279540082992753,0.31543937500100583,0.27632608299609274,0.441353666014038,tree_paired_leaves,tree_paired_leaves,1,s01/board-feed-002-k1.json,e363c14fc82ff49003998a550f1ce9cc25d6e6d86544bacec5baab96fea0804a
002,2,261945,124780,2.0992546882513223,124780,2.0992546882513223,0.0,9216,9216,0,0,0,0.28142804201343097,0.3068642090074718,0.27891629197984,0.41402799999923445,tree_paired_leaves,tree_paired_leaves,2,s01/board-feed-002-k2.json,148aa8820ef9365170b3c913aabcdece730ba90e1b23b5105a56616c4a5f425a
002,3,261945,86384,3.0323323763659937,86384,3.0323323763659937,0.0,15360,15360,0,0,0,0.2798994169861544,0.33251591701991856,0.2765269580122549,0.3947512499871664,tree_paired_leaves,tree_paired_leaves,3,s01/board-feed-002-k3.json,09caeef7f98a9a76dc3f8c7e5095f3df6d6e116b5a15a145d81bd19b9cefdb69
002,4,261945,67942,3.855420800094198,67942,3.855420800094198,0.0,36864,36864,0,0,0,0.2793039999960456,0.31918312501511537,0.2819817500130739,0.41051708298618905,tree_paired_leaves,tree_paired_leaves,4,s01/board-feed-002-k4.json,03d29aba2c25966ec523f52ce7d7cd9a75a558a2034428d447990ead53dce0a7
002,5,261945,59810,4.379618792844006,59810,4.379618792844006,0.0,33792,33792,0,0,0,0.27667437499621883,0.33221258301637135,0.28211079200264066,0.3896127920015715,tree_paired_leaves,tree_paired_leaves,5,s01/board-feed-002-k5.json,4138c8d1dd73910821822543673cf045ab862ac665564b40941d3ae9150a7457
