case_id,M1,M2_noL2,M3_cache,G_M2_over_M3,baseline_over_M3,fractional_reduction_1_minus_M3_over_M2,layered_candidate,plan_sha256,graph_sha256
001,233110,47502,47502,1.0,4.9073723211654245,0.0,False,d83b409c7bbc97e3897c607a8349f82723e9a06f1ac1ba09c286ced6d02de8a3,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f
002,261945,54341,54341,1.0,4.8203934414162415,0.0,False,ea6c992c11db5677685f75cfb1edcf166d013c765f558e0ab72621bc6a2a2527,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352
003,602212,138802,124094,1.1185230551033893,4.852869598852482,0.10596389101021597,False,323c5662d39e4e39302581e865777e34ef05d0db6d24e9940da25395071cb817,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced
004,392357,83440,83440,1.0,4.702265100671141,0.0,False,51d2dfb1a4c0864659d527d8b5262312f3f7fa28b3cb0dd2c6a08d518767e4de,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa
005,95618,37327,30642,1.2181646106651003,3.1204882187846747,0.1790928818281673,True,271a969809500146111039bc4f327abe2a78f298177e99cbc9a9ecc637bb8eb6,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f
006,82837,25613,21118,1.2128515957950563,3.9225778956340562,0.17549681802209816,False,1edc21eea791cd6a9f4cbf406da15bf3b582f22ca5980bc9b2c2cb3fccbf1dec,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48
007,1012562,196870,196870,1.0,5.14330268705237,0.0,False,39930cb38954f892db54da9ac9fa86f8084fa3e6bd4fa618d5013dba594cb7ba,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518
008,487605,52291,52291,1.0,9.324836013845594,0.0,False,80e464e565f31fc4f598bfbc623d7d7cec93432825ffda88ad7fb6c7775664b1,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d
009,153261,38730,33957,1.1405601201519568,4.513384574609065,0.1232378001549187,True,e9a1bbe16f4b9b35df1ca39f1f5f05cf24646944a5bda31154092d941716d4db,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a
010,86969,24256,20608,1.1770186335403727,4.220157220496894,0.1503957783641161,False,4e9b1c875014bad7800596def5097ffcdcd224d5737ac2d8fdf096bc88af1a89,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775
011,184697,40745,39133,1.0411928551350522,4.719725040247361,0.039563136581175606,False,6c37afda7d2e38513ff0bd0fba1548172e96f22f46b47e77f1d4973681ce7c8f,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9
012,59088,17257,13175,1.3098292220113852,4.484857685009487,0.23654169322593732,False,20cf16ddb922b088267b4a334a486404075cf4cbcca96826b1b8a3907961c2ad,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079
013,263949,54117,54117,1.0,4.8773767947225455,0.0,False,282b70835f1c468a2b8892df9349b62add9f0b2690c77113bbb84ec8839ef3fb,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c
014,17698626,3613047,3599672,1.0037156163117085,4.916732969003842,0.003701861614310631,False,9e5d7db509e6218c785cae2270cc2bd20c54c5beffe9956dcce914326b57ad5c,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd
015,177362,52362,38938,1.3447531973907236,4.554984847706611,0.2563691226461938,False,1b4cefad54cc39ff33d46ec9dfce56e7bd67f8663ac0441b47d630a94855c5b0,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253
016,7715523,1949798,1949798,1.0,3.9570883753086217,0.0,False,eacbe240bd3cf2a9924bc1c69df8d8e0af5a3ac7785dc83f0b06c1abb7142945,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef
017,162810,30143,30143,1.0,5.401254022492784,0.0,False,ed5b0d46f3a06b4f07007aab7bb271b4cfe8fe4e9f2e7a334ce83b03406f3dc1,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c
018,1004367,198417,198417,1.0,5.061899938009344,0.0,False,f7c805bdd30ec48d01a7ab02fc2d02dec8655c33e28c34e15b3e2e8dd91559c8,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a
019,81144,21398,19576,1.0930731507968943,4.145075602778913,0.08514814468641929,False,96f7249bed7acbaa2e774b70db108d56617eaebcaf3237c764e9e71787133392,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429
020,532746,111137,111137,1.0,4.793597091877593,0.0,False,b319f82aafd7d9e4cd65a632ddf7dd98c02b127a374465c84d44e34226018b12,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4
021,6567937,1250168,1249380,1.0006307128335654,5.256957050697146,0.0006303152856256267,False,8456cf06557853bb091a405d78240704c5e8ee0be8085ab1777eacac9c360391,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37
022,56780,11430,11421,1.0007880220646177,4.9715436476665795,0.0007874015748031704,False,b0dd8a793b4fe684e06879a750bd356385e7a56cd7bb095db0d557186cdd5a04,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7
023,122614,20253,19332,1.0476412166356301,6.3425408648872335,0.045474744482298934,False,f4b5eb0764ed3d014d14ecaf49e04bd881a7f4a63d616fd3edcb41cbb658403c,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739
024,2555343,648482,648482,1.0,3.9404995049978258,0.0,False,d23a42bfd7294f1dbf9c72deb6c14ea91f65dc8ed25dbdb3e3f09c2388fb32a7,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec
025,4863026,942938,942938,1.0,5.157312569861433,0.0,False,2ce5838a1a3e6a11579135b1ebce2f5c01b58173f433b7862647e697aaa7710c,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb
026,99203,38416,30256,1.2696985721840297,3.2787876784769963,0.21241149521032898,False,9287b9c82f8e7ce79a05d539625aebfbedfa460d52942af37c963795ee1385a4,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b
027,2363952,474170,474040,1.0002742384608894,4.986819677664332,0.000274163274774919,False,92235b97740758f2cafb6f4ce860cc54fe25e488ef307ab9776a3e1063bdb9f1,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b
028,43836040,8294722,8025115,1.0335954064209671,5.462356614204283,0.032503440139404316,False,284dd7600297f171c36dd608918e0ee5683ab924b85fac3dcd328d3791a46300,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212
029,37555,10005,10005,1.0,3.753623188405797,0.0,False,479545588fd3d88ce0db9df8c3b9f3c3074123e9a9412a5ba749c00385f1eb3c,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b
030,2808034,558448,558288,1.0002865904336113,5.029723010345915,0.00028650832306675866,False,a4c98101f5b29af166e48925eeadd1477bb8426f7c9d55adeb4ef249ea9f5751,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90
031,1414369,419362,360981,1.161728733645261,3.918125884741856,0.13921385342496462,False,c8e72d1fcdd36c15f02f33d30e976ba3d74e4d9179cc579ab8fb17d6f815dd7e,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82
032,41443,12568,10326,1.2171218283943444,4.013461165988766,0.17838956078930612,False,a113cb179dcc8c06efd00a82d3a743bb8489313365208c219731ad06aebdc57a,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385
033,1774196,358616,355782,1.0079655519391089,4.9867503133941575,0.007902603341735981,False,078bf944827be67a93461c53f1ea6c7561487800c35522967be585590bff7ea9,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b
034,842996,162779,157489,1.0335896475309387,5.352729396973757,0.032498049502699966,False,af1f7cb4bd874861a4d3bfd1ce22379484ea798d8d621250c2bc3bc6be504099,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6
035,169571,34283,32994,1.0390677092804752,5.139449596896405,0.037598809905784236,False,ca0d7546a629d00340b3935004465dc414a0f8d21e51dee795095990397fbd72,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2
036,931510,187182,187182,1.0,4.976493466252097,0.0,False,733efb24685607ee35df6279819e430067f3edf28b3ec39d7a3ded948314c8ab,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21
037,210001,43800,43013,1.0182967939925138,4.882268151489085,0.017968036529680376,False,57c5c350d989f5d62cdf1536bc08022c616f5e9e1ff95272cd8b413f092bea65,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3
038,1364555,270283,268556,1.006430688571471,5.081081785549383,0.0063895990498847866,False,89bffc438b15585d5ab24dfb251aebc2fa9020eb37cae3d194a34ff30704bc21,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac
039,1435262,431161,340476,1.2663477014532596,4.21545718347255,0.21032746468256636,False,8678a6b0a2dd2640bba8edb42e4d1f7bb59a3b6ea22698b0958349a042c3b5f5,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed
040,253454,67790,57815,1.1725330796506097,4.383879616016604,0.14714559669567784,True,0cd2916927f830b2270a3d20e144881cf178337d312dfb15f0a0ff378ab82421,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57
041,6003957,1216557,1212656,1.0032169057012046,4.951080108456149,0.003206590402258125,False,bfbe75030a05460317c0fc52340f8732ab660bed3b0820c6aa4e21baf93292a8,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491
042,1686740,341131,328641,1.038004996333385,5.132469777051555,0.03661350038548239,False,e7028768787f03a2221c201445405131d7a67988ea0831f833cd5fde66db0d96,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5
043,677656,147755,126836,1.1649295152795736,5.342773345107068,0.14157896517884339,False,499d26d54a4c72167b0649b25bff0ca9679ba1f7f6395479cb075b6819eed113,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c
044,154407,63413,41205,1.538963717995389,3.747287950491445,0.35021210161954175,False,a16abc2ce5000de286a5416080f19d21ed1d237942045e5fca10a61625094c2e,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e
045,125614,27620,27620,1.0,4.547936278059377,0.0,False,6fabd585a66858d94c0423daf5a3957dd381006467066eba75bc5696706b20fe,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793
046,276455,96034,83050,1.15633955448525,3.3287778446718845,0.13520211591727926,False,2598fca20ae5b55773adf878f3b390d5ccc9b469ae175553eada4f4a518556f9,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659
047,326508,78256,73805,1.060307567237992,4.423927918162726,0.05687742792884887,True,e26386a231ab41f6f0933ec44f537fbe218183c3e723f0678c295727ae5606b5,7c6328650b8e50e4d15a0ddf1ad0715a40d64d51f3c86c2c3b9c22e4cbb6a83f
