shard,case,k,category,cache_capacity_bytes,event_count,bytes,result_sha256
s01,005,5,first_forced_miss,1048576,342,651318,161f6c00a3c406c3e11d9aead620c9652bdce4c8999ce1039c83000dd859f631
s01,005,5,inflight_repeated_miss,1048576,101,144004,161f6c00a3c406c3e11d9aead620c9652bdce4c8999ce1039c83000dd859f631
s01,005,5,post_insert_re_miss,1048576,0,0,161f6c00a3c406c3e11d9aead620c9652bdce4c8999ce1039c83000dd859f631
s01,005,5,hit,1048576,344,674612,161f6c00a3c406c3e11d9aead620c9652bdce4c8999ce1039c83000dd859f631
s05,044,5,first_forced_miss,1048576,182,1036000,83a869d41f0aa66d9b06c6b2e5dac66a1b280c7f39e0d8bb4562678c3acf0594
s05,044,5,inflight_repeated_miss,1048576,0,0,83a869d41f0aa66d9b06c6b2e5dac66a1b280c7f39e0d8bb4562678c3acf0594
s05,044,5,post_insert_re_miss,1048576,0,0,83a869d41f0aa66d9b06c6b2e5dac66a1b280c7f39e0d8bb4562678c3acf0594
s05,044,5,hit,1048576,24,1585152,83a869d41f0aa66d9b06c6b2e5dac66a1b280c7f39e0d8bb4562678c3acf0594
s07,065,5,first_forced_miss,1048576,153,299720,eb4f51e8e0f0982ce382357c76bae984d720e33f039d42fde2ea70ba231d172e
s07,065,5,inflight_repeated_miss,1048576,6,27648,eb4f51e8e0f0982ce382357c76bae984d720e33f039d42fde2ea70ba231d172e
s07,065,5,post_insert_re_miss,1048576,0,0,eb4f51e8e0f0982ce382357c76bae984d720e33f039d42fde2ea70ba231d172e
s07,065,5,hit,1048576,9,28080,eb4f51e8e0f0982ce382357c76bae984d720e33f039d42fde2ea70ba231d172e
s08,071,5,first_forced_miss,1048576,83,166662,7938a4d580af4e2a29632eba6a3c2dedc031a0976029126429472abdf7dc1c6c
s08,071,5,inflight_repeated_miss,1048576,16,31970,7938a4d580af4e2a29632eba6a3c2dedc031a0976029126429472abdf7dc1c6c
s08,071,5,post_insert_re_miss,1048576,0,0,7938a4d580af4e2a29632eba6a3c2dedc031a0976029126429472abdf7dc1c6c
s08,071,5,hit,1048576,78,133360,7938a4d580af4e2a29632eba6a3c2dedc031a0976029126429472abdf7dc1c6c
s09,086,5,first_forced_miss,1048576,358,669606,978dcbc47485e412daaf709bd84093bfe8b20f13a4a1424b059d2730608275ce
s09,086,5,inflight_repeated_miss,1048576,88,140548,978dcbc47485e412daaf709bd84093bfe8b20f13a4a1424b059d2730608275ce
s09,086,5,post_insert_re_miss,1048576,0,0,978dcbc47485e412daaf709bd84093bfe8b20f13a4a1424b059d2730608275ce
s09,086,5,hit,1048576,398,748628,978dcbc47485e412daaf709bd84093bfe8b20f13a4a1424b059d2730608275ce
