case_id,cores,makespan_cycles,cache_hit_rate,spill_bytes,hit_bytes,oversize_bytes,first_access_bytes,miss_in_flight_bytes,after_eviction_bytes,hit_count,oversize_count,first_access_count,miss_in_flight_count,after_eviction_count,fifo_evictions,fifo_reinsertions,distinct_read_keys,distinct_inserted_keys,zero_insert_binding_unavailable_count,result_path,result_sha256
001,1,233110,0.0,0,0,0,820352,0,0,0,0,201,0,0,0,0,201,201,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s01/cells/001-k1-unified-attention-witness-e0/evidence/result.json.gz,aadede0be14316d9674e259f339efa1191249664445998acf8b3c098100c368c
002,1,262089,0.0,0,0,0,1222656,0,0,0,0,398,0,0,58,0,398,398,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s09/cells/002-k1-unified-attention-witness-e0/evidence/result.json.gz,6c19bf94e9a284618ef80bebfce0e84458cf76d6a7f6640e4ad37f8ff309bf77
003,1,442629,1.3601757841722527e-05,666392,22,0,1617414,0,2,11,0,439,0,1,126,1,439,439,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s04/cells/003-k1-unified-attention-witness-e0/evidence/result.json.gz,1ba3dd3378686cf87afd3a7926c53bf91dfe679306a35e00bcd04e6f4b6243ed
004,1,386363,0.0,0,0,0,451584,0,0,0,0,114,0,0,0,0,114,114,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s09/cells/004-k1-unified-attention-witness-e0/evidence/result.json.gz,c1af64ab5810f218d5e17202ddd1a9039bfe93b4aa6d537bb190220cd460977e
005,1,73504,0.0,0,0,0,318822,0,0,0,0,89,0,0,0,0,89,89,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s04/cells/005-k1-unified-attention-witness-e0/evidence/result.json.gz,f48697c32efb2f45747c9fe703701715060b55884d0a20c0e0a1de01e79b8a64
006,1,69415,0.0054526362094777245,37926,3074,0,560690,0,0,4,0,143,0,0,0,0,143,143,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s09/cells/006-k1-unified-attention-witness-e0/evidence/result.json.gz,d48c00f08dcf4fce4fc7091f327fe53b03459cfdfc9c88d0c5757a91b8a640d6
007,1,979262,0.0,0,0,0,880128,0,0,0,0,558,0,0,0,0,558,558,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s04/cells/007-k1-unified-attention-witness-e0/evidence/result.json.gz,26cb32d74af6a5f4484af361ee991980631ac65d36dff978fb0ebfea18636c14
008,1,250437,0.0,0,0,0,1990872,0,0,0,0,432,0,0,205,0,432,432,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s09/cells/008-k1-unified-attention-witness-e0/evidence/result.json.gz,7575c827113a7bd1cdd67c2a954c8a8042b02b1c55c52f119d36a0289741b638
009,1,121941,0.04763690089369525,415618,34306,0,685850,0,0,29,0,390,0,0,0,0,390,390,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s04/cells/009-k1-unified-attention-witness-e0/evidence/result.json.gz,0c76d47b82b0ac8700e0fd6268d2015a74a9e4dd26f13af26020401aede7ac74
010,1,57684,0.0,22016,0,0,395086,0,0,0,0,99,0,0,0,0,99,99,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s09/cells/010-k1-unified-attention-witness-e0/evidence/result.json.gz,f6fb3fac853be3a509a0d369152edeb6d2ebb263baf6f5771c179e260f8b514b
011,1,184697,0.0,0,0,0,540672,0,0,0,0,176,0,0,0,0,176,176,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s04/cells/011-k1-unified-attention-witness-e0/evidence/result.json.gz,7ad442075e2cc996fc37330a4c137ea8dea008002256df20a492ff3240181549
012,1,36348,0.0,0,0,0,484096,0,0,0,0,251,0,0,0,0,251,251,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s09/cells/012-k1-unified-attention-witness-e0/evidence/result.json.gz,f07d524d6779a2500e80a8edbb9f8995aa4d7ef5733393b340486cd76535e676
013,1,263949,0.0,0,0,0,2023424,0,0,0,0,988,0,0,476,0,988,988,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s04/cells/013-k1-unified-attention-witness-e0/evidence/result.json.gz,a02838aeda9c4b63374308fb4bb57fcc73d3a7b13527b285483ece1100ed994e
014,1,17418277,0.0812557822060729,105614592,6431232,0,46289880,0,26426880,915,0,8486,0,4810,13069,4810,8486,8486,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s09/cells/014-k1-unified-attention-witness-e0/evidence/result.json.gz,0aae6ee2f489c6d02e6f825564f3c1a0e2bf25f5061c079b4278996c11e301da
015,1,112496,0.22404017200201068,958548,344080,0,1191716,0,0,50,0,259,0,0,11,0,259,259,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s04/cells/015-k1-unified-attention-witness-e0/evidence/result.json.gz,9c501e4dd00dccdff32b12b4350a28e150415712f055f9d1dbe8995dd58a9091
016,1,7715523,0.0,0,0,0,393216,0,0,0,0,12,0,0,0,0,12,12,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s09/cells/016-k1-unified-attention-witness-e0/evidence/result.json.gz,946a0c99a0e9e30b644eafdeb3c542807b8a9f8b63b2f8cc20054091b616fde9
017,1,111608,0.17268636620366776,295056,129024,0,618134,0,0,63,0,302,0,0,0,0,302,302,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s04/cells/017-k1-unified-attention-witness-e0/evidence/result.json.gz,40ba4569b7c3dde676591b40663cac78f08df163620dba62e5396be88dd52486
018,1,971704,0.008701471134951405,564224,16384,0,1866516,0,0,2,0,472,0,0,152,0,472,472,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s09/cells/018-k1-unified-attention-witness-e0/evidence/result.json.gz,40164bd33b354e9c87180047df0c71047d92e5ded562aa105c2f8640fcc11225
019,1,51676,0.0,0,0,0,179252,0,0,0,0,88,0,0,0,0,88,88,0,results/a/q3-nikolastarx/witness-full500-20260925-s59/20260924T2032Z-s59ee/s04/cells/019-k1-unified-attention-witness-e0/evidence/result.json.gz,07a6c7ae0d233f940654f38dba1db7054a7834af464c958ad5ef59541d5fb356
