case_id,cores,baseline_cycles,forest_m3,forest_m2,final_m3,final_m2,forest_b_over_m,final_b_over_m,forest_g,final_g,solver_wall_seconds,fifth_core_status,selected_strategy,plan_changed_vs_forest,makespan_delta_vs_forest,scheduled_copy_bytes,extra_ddr_bytes,cache_hit_rate_bytes
001,1,233110,233110,233110,233110,233110,1.0,1.0,1.0,1.0,0.23556399997323751,skip,affine_eighth,False,0,1639552,0,0.0
001,2,233110,116868,116868,116868,116868,1.9946435294520313,1.9946435294520313,1.0,1.0,0.2181194580043666,skip,affine_eighth,False,0,1640704,1152,0.0
001,3,233110,78545,78545,78545,78545,2.9678528232223567,2.9678528232223567,1.0,1.0,0.2023867919924669,skip,affine_eighth,False,0,1641856,2304,0.0
001,4,233110,58984,58984,58984,58984,3.952088702020887,3.952088702020887,1.0,1.0,0.20931449998170137,skip,affine_eighth,False,0,1643008,3456,0.0
001,5,233110,47502,47502,47502,47502,4.9073723211654245,4.9073723211654245,1.0,1.0,0.21423837501788512,unsupported,affine_eighth,False,0,1644160,4608,0.0
002,1,261945,262089,262089,262089,262089,0.9994505683183956,0.9994505683183956,1.0,1.0,0.46132912498433143,skip,balanced_reduction_tree,False,0,1224192,0,0.0
002,2,261945,136624,136624,136624,136624,1.9172692938283171,1.9172692938283171,1.0,1.0,0.4445361249963753,skip,release_place_forest,False,0,1242624,18432,0.0
002,3,261945,93527,93527,93527,93527,2.8007420317127676,2.8007420317127676,1.0,1.0,0.32679504196858034,skip,balanced_reduction_tree,False,0,1230336,6144,0.0
002,4,261945,72594,72594,72594,72594,3.608356062484503,3.608356062484503,1.0,1.0,0.44222620798973367,skip,release_place_forest,False,0,1273344,49152,0.0
002,5,261945,54341,54341,54341,54341,4.8203934414162415,4.8203934414162415,1.0,1.0,0.4280226669507101,unsupported,release_place_forest,False,0,1273344,49152,0.0
003,1,602212,442629,442629,442629,442629,1.360534443066315,1.360534443066315,1.0,1.0,2.957644874986727,skip,attention_rows_ffn,False,0,1950656,666392,1.3601757841722527e-05
003,2,602212,229045,229320,229045,229320,2.6292300639612303,2.6292300639612303,1.001200637429326,1.001200637429326,5.098365332989488,skip,attention_rows_ffn_gap,False,0,3592518,2308254,0.14970318522128206
003,3,602212,169168,170057,169168,170057,3.559845833727419,3.559845833727419,1.0052551309940414,1.0052551309940414,4.966010500036646,skip,attention_rows_ffn_gap,False,0,4710516,3426252,0.31425364758698093
003,4,602212,139553,148631,139553,148631,4.315292397870343,4.315292397870343,1.065050554269704,1.065050554269704,4.914718458021525,skip,attention_rows_ffn_gap,False,0,5949978,4665714,0.42662489966920686
003,5,602212,124094,138802,124094,138802,4.852869598852482,4.852869598852482,1.1185230551033893,1.1185230551033893,5.160949625016656,unsupported,attention_rows_ffn_gap,False,0,6855908,5571644,0.46397428575960914
004,1,392357,386363,386363,386363,386363,1.01551390790526,1.01551390790526,1.0,1.0,0.28327158297179267,skip,affine_eighth,False,0,792576,0,0.0
004,2,392357,195960,195960,195960,195960,2.0022300469483567,2.0022300469483567,1.0,1.0,0.30694070900790393,skip,affine_eighth,False,0,903168,110592,0.0
004,3,392357,130725,130725,130725,130725,3.001392235609103,3.001392235609103,1.0,1.0,0.2842859160155058,skip,affine_eighth,False,0,1013760,221184,0.0
004,4,392357,100126,100126,100126,100126,3.9186325230209937,3.9186325230209937,1.0,1.0,0.3223544579814188,skip,affine_eighth,False,0,1124352,331776,0.0
004,5,392357,83440,83440,83440,83440,4.702265100671141,4.702265100671141,1.0,1.0,0.31905670900596306,unsupported,affine_eighth,False,0,1234944,442368,0.0
005,1,95618,73504,73504,73504,73504,1.300854375272094,1.300854375272094,1.0,1.0,0.5869368750136346,skip,attention_rows_ffn,False,0,333414,0,0.0
005,2,95618,39844,39888,39844,39888,2.399809256098785,2.399809256098785,1.0011043067965064,1.0011043067965064,1.1068944170256145,skip,attention_rows_ffn_gap,False,0,1043916,710502,0.21369063707331035
005,3,95618,30855,31950,30855,31950,3.0989466861124617,3.0989466861124617,1.0354885755955274,1.0354885755955274,1.165700207988266,skip,attention_rows_ffn_gap,False,0,1362546,1029132,0.33517767737973647
005,4,95618,28981,32723,28981,32723,3.2993340464442222,3.2993340464442222,1.1291190780166316,1.1291190780166316,1.1645158330211416,skip,attention_rows_ffn_gap,False,0,1784280,1450866,0.39892284004303485
