case_id,k2,k3,k4,k5
001,1.99,2.97,3.95,4.91
002,1.65,2.60,3.26,3.92
003,1.75,2.05,2.32,2.64
004,1.97,2.93,3.77,4.44
005,1.23,1.14,1.15,1.17
006,2.00,2.66,3.09,3.58
007,2.00,2.99,3.98,4.97
008,3.55,4.31,4.32,4.85
009,1.66,2.17,2.19,2.19
010,1.91,2.82,3.25,3.35
011,1.99,2.80,3.94,3.95
012,1.96,2.82,3.54,4.32
013,2.00,2.99,3.94,4.86
014,2.00,2.99,3.92,4.82
015,1.96,2.96,3.47,4.13
016,1.70,2.08,2.38,2.39
017,1.99,2.97,3.92,4.74
018,2.00,2.96,3.92,4.93
019,2.06,2.88,3.50,4.15
020,2.00,2.99,3.98,4.95
021,2.12,3.17,4.24,5.28
022,2.00,2.97,3.90,4.80
023,2.24,3.09,4.06,4.89
024,1.70,2.08,2.38,2.39
025,2.00,3.00,3.99,4.99
026,2.26,2.42,2.72,2.73
027,2.12,3.15,4.23,4.23
028,2.11,3.00,4.04,4.93
029,1.90,2.95,3.41,4.00
030,2.01,3.01,4.01,5.01
031,1.99,2.90,3.77,4.83
032,1.95,2.90,3.62,4.17
033,2.01,3.00,4.01,4.97
034,2.06,3.06,4.13,5.12
035,1.78,1.78,1.78,1.78
036,2.00,2.99,3.99,4.98
037,1.99,2.84,3.94,4.88
038,2.03,2.99,4.03,4.89
039,2.07,3.01,3.84,4.53
040,1.93,2.31,2.30,2.30
041,2.02,3.02,4.02,4.99
042,2.00,2.97,3.88,4.71
043,1.95,2.55,2.54,2.53
044,2.26,2.31,2.08,2.12
045,1.99,2.95,3.94,4.80
046,2.16,2.58,2.72,2.66
047,1.50,1.74,1.75,1.81
048,1.29,1.38,1.39,1.43
049,1.49,1.88,2.13,2.25
050,1.55,1.75,1.77,1.89
051,1.70,2.09,2.39,2.39
052,2.00,2.98,3.95,4.68
053,1.96,2.83,2.99,2.99
054,1.69,2.09,2.33,2.50
055,2.09,2.87,3.93,4.51
056,1.50,1.84,2.10,2.19
057,1.93,2.77,3.52,4.32
058,2.03,3.03,4.05,4.79
059,2.25,3.32,4.48,5.50
060,2.03,3.02,4.07,5.10
061,1.98,2.91,3.49,3.48
062,1.87,2.57,3.35,4.21
063,1.81,2.60,3.15,4.13
064,1.10,1.21,1.20,1.21
065,1.98,2.94,3.75,4.64
066,1.85,2.22,2.32,2.39
067,2.07,3.08,4.04,4.95
068,1.42,1.68,1.88,1.93
069,1.23,1.38,1.37,1.51
070,1.98,2.93,3.67,4.37
071,1.18,1.30,1.40,1.46
072,2.03,3.00,4.03,4.94
073,2.25,3.28,4.16,4.87
074,2.04,3.06,4.06,4.91
075,1.84,2.23,2.54,2.71
076,2.02,3.03,4.02,5.02
077,2.00,2.95,3.88,4.28
078,2.12,2.99,3.71,3.95
079,2.04,3.11,4.18,5.22
080,2.00,2.91,3.00,3.00
081,1.97,2.92,3.83,4.91
082,1.93,2.43,2.52,2.83
083,2.27,3.12,3.90,4.15
084,3.65,5.47,6.37,6.38
085,1.94,2.43,2.70,2.81
086,1.25,1.34,1.24,1.26
087,2.00,2.90,3.83,4.49
088,1.45,1.71,1.90,1.92
089,2.00,2.92,3.89,4.70
090,2.18,2.78,3.09,3.23
091,2.01,2.99,3.97,4.90
092,2.29,3.35,4.38,5.25
093,1.96,2.96,3.75,4.67
094,1.98,2.89,3.89,4.23
095,3.63,4.37,4.37,4.95
096,1.96,2.67,3.12,3.11
097,2.23,3.30,4.45,5.47
098,1.98,2.31,2.35,2.34
099,2.01,3.00,4.00,4.81
100,1.88,2.62,2.60,2.60
